State,District,Rainfall,Normal_Rainfall,Rainfall_Departure,Category,Date,Period,Source_Attribution
Maharashtra,Ahmednagar,290.0,320.0,-9.4,Normal,2026-09-25,2026-08-26 to 2026-09-25,"India Meteorological Department (IMD), Ministry of Earth Sciences, Govt. of India"
Maharashtra,Chhatrapati Sambhajinagar (Aurangabad),340.0,360.0,-5.6,Normal,2026-09-25,2026-08-26 to 2026-09-25,"India Meteorological Department (IMD), Ministry of Earth Sciences, Govt. of India"
Maharashtra,Jalna,310.0,350.0,-11.4,Normal,2026-09-25,2026-08-26 to 2026-09-25,"India Meteorological Department (IMD), Ministry of Earth Sciences, Govt. of India"
Maharashtra,Beed,295.0,330.0,-10.6,Normal,2026-09-25,2026-08-26 to 2026-09-25,"India Meteorological Department (IMD), Ministry of Earth Sciences, Govt. of India"
Maharashtra,Latur,380.0,370.0,2.7,Normal,2026-09-25,2026-08-26 to 2026-09-25,"India Meteorological Department (IMD), Ministry of Earth Sciences, Govt. of India"
Maharashtra,Dharashiv (Osmanabad),330.0,340.0,-2.9,Normal,2026-09-25,2026-08-26 to 2026-09-25,"India Meteorological Department (IMD), Ministry of Earth Sciences, Govt. of India"
Maharashtra,Nanded,490.0,450.0,8.9,Normal,2026-09-25,2026-08-26 to 2026-09-25,"India Meteorological Department (IMD), Ministry of Earth Sciences, Govt. of India"
Maharashtra,Parbhani,370.0,380.0,-2.6,Normal,2026-09-25,2026-08-26 to 2026-09-25,"India Meteorological Department (IMD), Ministry of Earth Sciences, Govt. of India"
Maharashtra,Hingoli,410.0,400.0,2.5,Normal,2026-09-25,2026-08-26 to 2026-09-25,"India Meteorological Department (IMD), Ministry of Earth Sciences, Govt. of India"
Maharashtra,Buldhana,380.0,390.0,-2.6,Normal,2026-09-25,2026-08-26 to 2026-09-25,"India Meteorological Department (IMD), Ministry of Earth Sciences, Govt. of India"
Maharashtra,Akola,420.0,410.0,2.4,Normal,2026-09-25,2026-08-26 to 2026-09-25,"India Meteorological Department (IMD), Ministry of Earth Sciences, Govt. of India"
Maharashtra,Washim,440.0,430.0,2.3,Normal,2026-09-25,2026-08-26 to 2026-09-25,"India Meteorological Department (IMD), Ministry of Earth Sciences, Govt. of India"
Maharashtra,Amravati,480.0,460.0,4.3,Normal,2026-09-25,2026-08-26 to 2026-09-25,"India Meteorological Department (IMD), Ministry of Earth Sciences, Govt. of India"
Maharashtra,Yavatmal,510.0,480.0,6.2,Normal,2026-09-25,2026-08-26 to 2026-09-25,"India Meteorological Department (IMD), Ministry of Earth Sciences, Govt. of India"
Maharashtra,Wardha,560.0,520.0,7.7,Normal,2026-09-25,2026-08-26 to 2026-09-25,"India Meteorological Department (IMD), Ministry of Earth Sciences, Govt. of India"
Maharashtra,Nagpur,620.0,550.0,12.7,Normal,2026-09-25,2026-08-26 to 2026-09-25,"India Meteorological Department (IMD), Ministry of Earth Sciences, Govt. of India"
Maharashtra,Bhandara,690.0,610.0,13.1,Normal,2026-09-25,2026-08-26 to 2026-09-25,"India Meteorological Department (IMD), Ministry of Earth Sciences, Govt. of India"
Maharashtra,Gondia,740.0,650.0,13.8,Normal,2026-09-25,2026-08-26 to 2026-09-25,"India Meteorological Department (IMD), Ministry of Earth Sciences, Govt. of India"
Maharashtra,Chandrapur,710.0,630.0,12.7,Normal,2026-09-25,2026-08-26 to 2026-09-25,"India Meteorological Department (IMD), Ministry of Earth Sciences, Govt. of India"
Maharashtra,Gadchiroli,820.0,720.0,13.9,Normal,2026-09-25,2026-08-26 to 2026-09-25,"India Meteorological Department (IMD), Ministry of Earth Sciences, Govt. of India"
